x y z a b
1 1.23699 123 123 254 28
2 1.92714 27 54 164 70
3 2.43998 21 63 140 162
4 2.39837 17 68 138 161
5 3.98264 17 85 118 199
6 4.42546 15 90 132 182
7 4.42463 13 91 128 201
8 4.42278 13 104 130 201
9 4.41852 13 117 130 201
10 7.0791 13 130 102 235
11 7.0793 13 143 99 235
12 10.6629 11 132 99 282
13 10.6621 11 143 99 282
14 10.6629 9 126 95 282
15 10.6657 9 135 95 282
16 10.6697 9 144 91 282
17 10.6753 7 119 89 282
18 14.0425 7 126 88 305
19 14.0508 7 133 90 305
20 14.0616 7 140 87 305
21 21.0514 7 147 79 340
22 20.7207 7 154 88 339
23 20.7388 7 161 88 339
24 20.8133 7 168 86 339
25 20.8931 7 175 78 339
26 20.9178 7 182 72 339
27 20.9277 7 189 76 339
28 21.758 5 140 80 338
29 21.7923 5 145 78 338
30 21.8302 5 150 76 338
31 21.8707 5 155 74 338
32 21.9156 5 160 74 339
33 22.0366 5 165 74 339
34 22.0894 5 170 68 339
35 22.1478 5 175 70 339
36 22.2125 5 180 64 339
37 22.27 5 185 62 339
38 38.4914 5 190 58 487
39 38.5324 5 195 56 487
40 39.4529 3 120 54 528
41 43.3281 3 123 39 642
42 43.4066 3 126 39 642
43 43.4491 3 129 40 642
44 43.4937 3 132 38 643
45 43.5408 3 135 37 644
46 43.59 3 138 37 646
47 43.6419 3 141 34 647
48 43.696 3 144 36 648
49 43.775 3 147 34 649
50 43.8338 3 150 34 650
51 43.8962 3 153 32 654
52 43.9607 3 156 30 706
53 44.0051 3 159 30 706
54 42.006 3 162 34 639
55 50.8873 3 165 24 1463
56 50.9567 3 168 22 1463
57 51.026 3 171 22 1463
58 51.098 3 174 22 1463
59 51.1726 3 177 22 1463
60 51.2561 3 180 22 1463
61 51.3362 3 183 22 1463
62 51.3943 3 186 22 1463
63 51.4786 3 189 22 1464
64 51.3701 3 192 24 1464
65 51.4564 3 195 24 1464
66 51.5482 3 198 26 1465
67 51.6384 3 201 24 1480
68 51.7418 3 204 24 1478
69 51.8425 3 207 24 1477
70 51.9544 3 210 24 1477
71 52.0583 3 213 20 1492
72 52.168 3 216 22 1476
73 52.281 3 219 22 1476
74 52.3967 3 222 22 1476
75 52.5166 3 225 22 1476
76 52.64 3 228 22 1477
77 52.7671 3 231 24 1477
78 52.8982 3 234 24 1477
79 53.0327 3 237 24 1477
80 53.171 3 240 26 1478
81 53.3152 3 243 24 1477
82 53.4611 3 246 24 1478
83 53.6109 3 249 24 1478
84 53.7645 3 252 22 1489
85 53.9249 3 255 20 1489
86 54.086 3 258 20 1489
87 54.2521 3 261 22 1475
88 54.5732 3 264 24 1475
89 54.7462 3 267 24 1475
90 54.8035 3 270 24 1476
91 54.9809 3 273 20 1488
92 55.1697 3 276 22 1489
93 55.3657 3 279 22 1489
94 55.5555 3 282 22 1489
95 55.7493 3 285 26 1490
96 55.9469 3 288 24 1490
97 56.1485 3 291 24 1490
98 56.3542 3 294 24 1491
99 56.564 3 297 23 1492
